candidateId,value,universidad homologada
630665b8594e18004af04ef5,Cesar Vallejo,CESAR VALLEJO
630665b8594e18004af04efc,Universidad Nacional Daniel Alcides Carrión,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRIÓN
630665b8594e18004af04f03,Certus,CERTUS
630665b8594e18004af04f11,Universidad Alas Peruanas,UNIVERSIDAD ALAS PERUANAS
630665b8594e18004af04f1d,Pedro A. Del Águila Hidalgo,PEDRO A DEL ÁGUILA HIDALGO
630665b8594e18004af04f24,Cibertec,CIBERTEC
630665b8594e18004af04f24,Daniel Alcides Carrion,DANIEL ALCIDES CARRION
630665b8594e18004af04f2d,Instituto Adex,INSTITUTO ADEX
630665b8594e18004af04f32,Ifb,IFB
630665b8594e18004af04f39,Universidad Peruana Los Andes,UNIVERSIDAD PERUANA LOS ANDES
630665b8594e18004af04f42,Universidad Continental,UNIVERSIDAD CONTINENTAL SAC
630665b8594e18004af04f48,Universidad De San Martin De Porres - Usmp,UNIVERSIDAD DE SAN MARTÍN DE PORRES
630665b8594e18004af04f57,Universidad De San Martin De Porres,UNIVERSIDAD DE SAN MARTÍN DE PORRES
630665b8594e18004af04f57,Icpna,ICPNA
630665b8594e18004af04f57,Edelmira Del Pando,EDELMIRA DEL PANDO
630665b8594e18004af04f60,Mark Twain School,MARK TWAIN SCHOOL
630665b8594e18004af04f67,Universidad Nacional De San Martín,UNIVERSIDAD NACIONAL DE SAN MARTÍN
630665b8594e18004af04f67,I.e Francisco Bolognesi 088,IE FRANCISCO BOLOGNESI 088
630665b8594e18004af04f72,Certus,CERTUS
630665b8594e18004af04f72,Ie República De Colombia,IE REPÚBLICA DE COLOMBIA
630665b8594e18004af04f7a,Zegel Ipae,ZEGEL IPAE
630665b8594e18004af04f80,Certus,CERTUS
630665b8594e18004af04f8c,Cibertec,CIBERTEC
630665b8594e18004af04f94,Instituto Superior Tecnologico Sise,INSTITUTO SUPERIOR TECNOLOGICO SISE
630665b8594e18004af04f9a,Universidad Tecnológica Del Perú,UNIVERSIDAD TECNOLÓGICA DEL PERÚ SAC
630665b8594e18004af04f9a,Centro Peruano De  Estudios Bancarios - Cepeban,CENTRO PERUANO DE  ESTUDIOS BANCARIOS  CEPEBAN
630665b8594e18004af04fa4,Certus,CERTUS
630665b8594e18004af04fa4,Universidad Alas Peruanas,UNIVERSIDAD ALAS PERUANAS
630665b8594e18004af04fb4,Certus,CERTUS
630665b8594e18004af04fbb,Idad,IDAD
630665b8594e18004af04fc4,Universidad Nacional Mayor De San Marcos,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS
630665b8594e18004af04fcb,Instituto Certus,INSTITUTO CERTUS
630665b8594e18004af04fcb,Vasili Sujomlinsky,VASILI SUJOMLINSKY
630665b8594e18004af04fd2,Universidad Privada Del Norte,UNIVERSIDAD PRIVADA DEL NORTE SAC
630665b8594e18004af04fdf,Universidad Tecnológica Del Perú,UNIVERSIDAD TECNOLÓGICA DEL PERÚ SAC
630665b8594e18004af04fdf,Universidad Nacional Mayor De San Marcos,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS
630665b8594e18004af04fdf,Centro De Idiomas De La Unmsm,CENTRO DE IDIOMAS DE LA UNMSM
630665b8594e18004af04fe8,Instituto Columbia,INSTITUTO COLUMBIA
630665b8594e18004af04ff0,Ifb Certus,IFB CERTUS
630665b8594e18004af04ffb,Universidad Nacional Mayor De San Marcos,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS
630665b8594e18004af05008,Universidad Privada Del Norte,UNIVERSIDAD PRIVADA DEL NORTE SAC
630665b8594e18004af05010,Instituto Certus,INSTITUTO CERTUS
630665b8594e18004af05019,Iestp Argentina,IESTP ARGENTINA
630665b8594e18004af05020,Universidad Catolica Los Angeles De Chimbote,UNIVERSIDAD CATOLICA LOS ANGELES DE CHIMBOTE
630665b8594e18004af05027,Certus,CERTUS
630665b8594e18004af0502e,Universidad Tecnológica Del Perú,UNIVERSIDAD TECNOLÓGICA DEL PERÚ SAC
